run_id	workflow	status	started	duration_s	cause
31076165322	platform-gate-fast	failure	2026-08-06T06:06:09Z	808	push:fix(141): B12 FL15 false-wildcard (direct parent cert ≠ wildcard), de…
31076438965	platform-test	cancelled	2026-08-06T06:11:02Z	134	push:fix(141): e2e-verify -brief в openssl s_client ломал chain-парсинг (c…
31076439006	platform-gate-fast	failure	2026-08-06T06:11:03Z	801	push:fix(141): e2e-verify -brief в openssl s_client ломал chain-парсинг (c…
31076557800	platform-gate-fast	success	2026-08-06T06:13:15Z	819	push:fix(141): DOCKER_HUB_AUTH в .env.example генераторе + env-contract co…
31076557838	platform-test	failure	2026-08-06T06:13:15Z	1465	push:fix(141): DOCKER_HUB_AUTH в .env.example генераторе + env-contract co…
31076909969	Build Platform Agent	skipped	2026-08-06T06:19:40Z	2	parent:workflow_run
31076910090	Mirror to TronyxLab	skipped	2026-08-06T06:19:40Z	3	parent:workflow_run
31076910098	core-deploy	skipped	2026-08-06T06:19:40Z	2	parent:workflow_run
31077176641	Build Platform Agent	skipped	2026-08-06T06:24:27Z	1	parent:workflow_run
31077176643	Mirror to TronyxLab	skipped	2026-08-06T06:24:27Z	8	parent:workflow_run
31077176669	core-deploy	skipped	2026-08-06T06:24:27Z	2	parent:workflow_run
31077314431	core-deploy	failure	2026-08-06T06:26:57Z	16	parent:workflow_run
31077314446	Mirror to TronyxLab	success	2026-08-06T06:26:57Z	19	parent:workflow_run
31077314447	Build Platform Agent	failure	2026-08-06T06:26:57Z	97	parent:workflow_run
31079288382	platform-gate-fast	failure	2026-08-06T07:00:41Z	127	push:fix(141): B16 renderer import (monitoring.constants dotted), B17 aler…
31079288634	platform-test	failure	2026-08-06T07:00:41Z	122	push:fix(141): B16 renderer import (monitoring.constants dotted), B17 aler…
31079423704	Build Platform Agent	skipped	2026-08-06T07:02:50Z	2	parent:workflow_run
31079423737	Mirror to TronyxLab	skipped	2026-08-06T07:02:50Z	2	parent:workflow_run
31079423819	core-deploy	skipped	2026-08-06T07:02:50Z	8	parent:workflow_run
31079518458	platform-gate-fast	failure	2026-08-06T07:04:21Z	122	push:docs(141): ночная сессия — VerificationReport, TimingsReport, Telegra…
31079518459	platform-test	failure	2026-08-06T07:04:21Z	122	push:docs(141): ночная сессия — VerificationReport, TimingsReport, Telegra…
31079654822	Build Platform Agent	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079654832	core-deploy	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079654968	Mirror to TronyxLab	skipped	2026-08-06T07:06:25Z	2	parent:workflow_run
31079991416	platform-gate-fast	failure	2026-08-06T07:11:45Z	784	push:fix(141): proxy opt-in контракт для monitoring (env_shared, consumers…
31079991442	platform-test	failure	2026-08-06T07:11:46Z	859	push:fix(141): proxy opt-in контракт для monitoring (env_shared, consumers…
31080820864	Mirror to TronyxLab	skipped	2026-08-06T07:24:51Z	1	parent:workflow_run
31080821125	Build Platform Agent	skipped	2026-08-06T07:24:52Z	1	parent:workflow_run
31080821191	core-deploy	skipped	2026-08-06T07:24:52Z	8	parent:workflow_run
31081100992	platform-test	failure	2026-08-06T07:29:15Z	1076	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081101043	platform-gate-fast	success	2026-08-06T07:29:15Z	749	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081101178	Build Hermes Images	failure	2026-08-06T07:29:15Z	28	push:fix(141): hermes NO_PROXY fallback синхронизирован с SoT (no_proxy_in…
31081168332	platform-gate-fast	success	2026-08-06T07:30:16Z	815	push:docs(141): финальные evidence-обновления (timings, ci-runs, state)
31081168467	platform-test	failure	2026-08-06T07:30:16Z	2132	push:docs(141): финальные evidence-обновления (timings, ci-runs, state)
31081913367	core-deploy	failure	2026-08-06T07:41:46Z	22	parent:workflow_run
31081913429	Build Platform Agent	failure	2026-08-06T07:41:46Z	113	parent:workflow_run
31081913431	Mirror to TronyxLab	success	2026-08-06T07:41:46Z	18	parent:workflow_run
31082046946	Mirror to TronyxLab	success	2026-08-06T07:43:53Z	17	parent:workflow_run
31082047016	core-deploy	failure	2026-08-06T07:43:53Z	19	parent:workflow_run
31082047036	Build Platform Agent	failure	2026-08-06T07:43:53Z	87	parent:workflow_run
31102362497	platform-gate-fast	success	2026-08-06T12:39:53Z	837	push:fix(141): pre-push-gate не source'ит lib/paths.sh — PLATFORM_ROOT=/op…
31102362892	platform-test	failure	2026-08-06T12:39:53Z	1125	push:fix(141): pre-push-gate не source'ит lib/paths.sh — PLATFORM_ROOT=/op…
31103410072	core-deploy	failure	2026-08-06T12:53:52Z	31	parent:workflow_run
31103410152	Build Platform Agent	failure	2026-08-06T12:53:52Z	106	parent:workflow_run
31103410463	Mirror to TronyxLab	success	2026-08-06T12:53:53Z	13	parent:workflow_run
31107580294	platform-gate-fast	success	2026-08-06T13:47:14Z	831	push:fix(141): B19 снапшот-директории/projects chown ci-deploy; B20a pract…
31107582733	platform-test	failure	2026-08-06T13:47:16Z	1049	push:fix(141): B19 снапшот-директории/projects chown ci-deploy; B20a pract…
31108722862	Build Platform Agent	failure	2026-08-06T14:01:09Z	140	parent:workflow_run
31108723493	Mirror to TronyxLab	success	2026-08-06T14:01:09Z	22	parent:workflow_run
31108723544	core-deploy	failure	2026-08-06T14:01:09Z	42	parent:workflow_run
