run_id	workflow	status	started	duration_s	cause
30824402903	Mirror to TronyxLab	success	2026-08-03T14:47:41Z	13	parent:workflow_run
30824404335	Build Platform Agent	failure	2026-08-03T14:47:42Z	107	parent:workflow_run
30824878062	platform-test	failure	2026-08-03T14:53:47Z	143	push:fix(121): secrets.sh step_10 — fallback /etc/age/key.txt (CI node-upd…
30824878389	platform-gate-fast	failure	2026-08-03T14:57:58Z	55	push:fix(121): secrets.sh step_10 — fallback /etc/age/key.txt (CI node-upd…
30824943557	Mirror to TronyxLab	skipped	2026-08-03T14:54:37Z	1	parent:workflow_run
30824943608	Build Platform Agent	skipped	2026-08-03T14:54:37Z	1	parent:workflow_run
30824943657	core-deploy	skipped	2026-08-03T14:54:37Z	1	parent:workflow_run
30825283854	core-deploy	skipped	2026-08-03T14:58:55Z	1	parent:workflow_run
30825283869	Build Platform Agent	skipped	2026-08-03T14:58:55Z	9	parent:workflow_run
30825283872	Mirror to TronyxLab	skipped	2026-08-03T14:58:55Z	1	parent:workflow_run
30825475751	platform-gate-fast	success	2026-08-03T15:01:12Z	366	push:docs(121): дневная RC-сессия — VerificationReport (CI/CD доказан, 3/3…
30825476969	platform-test	failure	2026-08-03T15:01:13Z	846	push:docs(121): дневная RC-сессия — VerificationReport (CI/CD доказан, 3/3…
30825986120	core-deploy	success	2026-08-03T15:07:21Z	184	parent:workflow_run
30825986281	Mirror to TronyxLab	success	2026-08-03T15:07:21Z	13	parent:workflow_run
30825986567	Build Platform Agent	failure	2026-08-03T15:07:21Z	95	parent:workflow_run
30826284694	platform-gate-fast	success	2026-08-03T15:11:04Z	375	push:docs(121): финал — core-deploy SUCCESS (e1f03d1), P-21 закрыт (гонка …
30826285242	platform-test	failure	2026-08-03T15:11:05Z	1072	push:docs(121): финал — core-deploy SUCCESS (e1f03d1), P-21 закрыт (гонка …
30826782365	core-deploy	success	2026-08-03T15:17:22Z	38	parent:workflow_run
30826782550	Mirror to TronyxLab	success	2026-08-03T15:17:22Z	25	parent:workflow_run
